day,date,PVkW,TBLkW
1,2016/05/19,2,239.50626
2,2016/05/20,2,206.19063
3,2016/05/21,2,214.84766000000002
4,2016/05/22,2,181.61172
5,2016/05/23,2,170.51875
6,2016/05/24,2,183.08907
7,2016/05/25,2,216.7539
8,2016/05/26,103.1,177.90312
9,2016/05/27,319.2,217.39217999999997
10,2016/05/28,366.5,261.4992
11,2016/05/29,701.4,321.71405
12,2016/05/30,1022.1,313.33124
13,2016/05/31,1151.2,298.8094
14,2016/06/01,1173.1,309.1164
15,2016/06/02,1136.9,291.63672
16,2016/06/03,1141.4,331.23984
17,2016/06/04,486.5,316.14297
18,2016/06/05,759.7,269.61014
19,2016/06/06,375.7,258.6242
20,2016/06/07,113.1,259.47266
21,2016/06/08,5.9,294.9992
22,2016/06/09,0.0,301.95703
23,2016/06/10,0.0,347.30078
24,2016/06/11,0.0,244.0953
25,2016/06/12,0.0,250.16718999999998
26,2016/06/13,0.0,236.74374
27,2016/06/14,0.0,236.65155
28,2016/06/15,0.0,215.8172
29,2016/06/16,0.0,263.45547
30,2016/06/17,0.0,235.24765
31,2016/06/18,0.0,239.89687
32,2016/06/19,94.6,228.99219
33,2016/06/20,361.4,235.61717000000002
34,2016/06/21,628.7,296.9117
35,2016/06/22,890.9,300.43124
36,2016/06/23,1040.4,326.11017000000004
37,2016/06/24,1177.4,346.31952
38,2016/06/25,1215.4,325.96094
39,2016/06/26,1187.9,295.23904
40,2016/06/27,1090.6,304.12732
41,2016/06/28,962.1,381.3164
42,2016/06/29,719.9,335.2672
43,2016/06/30,472.9,198.23438000000002
44,2016/07/01,156.7,209.66406
45,2016/07/02,12.0,210.47342999999998
46,2016/07/03,0.0,244.43282000000002
47,2016/07/04,0.0,233.48515
48,2016/07/05,0.0,250.00702
49,2016/07/06,0.0,256.9742
50,2016/07/07,0.0,238.1961
51,2016/07/08,0.0,217.1461
52,2016/07/09,0.0,217.98515
53,2016/07/10,0.0,195.2664
54,2016/07/11,0.0,211.32422000000003
55,2016/07/12,0.0,196.6211
56,2016/07/13,33.5,189.13516
57,2016/07/14,44.1,233.9078
58,2016/07/15,289.3,305.66486000000003
59,2016/07/16,191.3,321.01797
60,2016/07/17,354.5,290.99844
61,2016/07/18,700.7,293.85156
62,2016/07/19,676.3,359.50232
63,2016/07/20,962.6,343.28516
64,2016/07/21,721.1,457.98828
65,2016/07/22,820.2,406.09296
66,2016/07/23,828.0,256.93515
67,2016/07/24,445.9,297.17343
68,2016/07/25,190.5,257.10233
69,2016/07/26,12.3,353.86484
70,2016/07/27,0.0,280.41092000000003
71,2016/07/28,0.0,262.20392000000004
72,2016/07/29,0.0,220.90937999999997
73,2016/07/30,0.0,240.6086
